Index,Symbol,Action Type,Order Type,Total Qty.,Qty. Filled,Qty. Remaining,Price,Stop Price,Limit Price,Created Date/Time (E),Update Date/Time (E)
301,KRYS,Buy,Market,36,36,0,177.26,0,0,3/12/2024 11:42,3/12/2024 11:43
304,BAND,Buy,Market,310,310,0,21.3,0,0,3/13/2024 9:33,3/13/2024 9:34
305,ASPN,Buy,Market,356,356,0,18.5,0,0,3/13/2024 9:33,3/13/2024 9:34
306,BAND,Sell,Stop,310,310,0,19.81,19.81,0,3/13/2024 9:34,3/13/2024 15:29
308,ASPN,Sell,Stop,356,356,0,17.36,17.36,0,3/13/2024 9:34,3/14/2024 9:31
310,HIMS,Buy,Market,442,442,0,14.99,0,0,3/13/2024 9:39,3/13/2024 9:40
311,HIMS,Sell,Stop,442,442,0,14.08,14.08,0,3/13/2024 9:40,3/15/2024 10:11
313,BMA,Buy,Market,159,159,0,41.74,0,0,3/13/2024 10:25,3/13/2024 10:26
315,BMA,Sell,Limit,80,80,0,49.39,0,49.19,3/13/2024 10:26,3/21/2024 9:32
316,LQDA,Buy,Market,460,460,0,14.4,0,0,3/13/2024 13:50,3/13/2024 13:51
318,LQDA,Sell,Limit,230,230,0,16.4,0,16.4,3/13/2024 13:51,3/14/2024 10:07
319,BHVN,Sell,Market,67,67,0,57.17,0,0,3/15/2024 9:31,3/15/2024 9:32
320,KURA,Sell,Market,143,143,0,22.12,0,0,3/15/2024 9:31,3/15/2024 9:32
321,COIN,Sell,Market,17,17,0,227.46,0,0,3/15/2024 9:31,3/15/2024 9:32
322,TREE,Sell,Market,93,93,0,37.98,0,0,3/15/2024 9:31,3/15/2024 9:32
323,FDMT,Buy,Market,214,214,0,30.81,0,0,3/15/2024 9:49,3/15/2024 9:50
326,ROOT,Buy,Market,135,135,0,48.41,0,0,3/15/2024 10:10,3/15/2024 10:11
329,ATXS,Buy,Market,423,423,0,15.62,0,0,3/15/2024 10:42,3/15/2024 10:43
330,ATXS,Sell,Stop,423,423,0,14.4,14.4,0,3/15/2024 10:43,3/20/2024 11:43
332,APP,Buy,Market,102,102,0,64.7,0,0,3/18/2024 9:33,3/18/2024 9:34
334,APP,Sell,Limit,51,51,0,71.52,0,71.43,3/18/2024 9:34,3/21/2024 9:31
335,HIMS,Buy,Market,440,440,0,15.04,0,0,3/18/2024 10:06,3/18/2024 10:07
338,KRYS,Sell,Market,36,36,0,169.5,0,0,3/19/2024 9:31,3/19/2024 9:35
339,ROOT,Sell,Market,135,135,0,42.7,0,0,3/20/2024 9:31,3/20/2024 9:32
340,CVNA,Buy,Market,79,79,0,83.67,0,0,3/20/2024 9:54,3/20/2024 9:55
343,CRBP,Sell,Market,116,116,0,38.68,0,0,3/21/2024 9:31,3/21/2024 9:35
