Index,Symbol,Direction,Entry Price,Entry Date/Time (E),Exit Date/Time (E),Status,Current Price,Exit Price,Entry Qty,Qty,SL,TP,Exit Qty,Change,Change %,Ticks/Pips,Account PnL,PnL,PnL %,MFE,MAE
54,STNE,Long,19.1,2/9/2024 9:49,2/9/2024 11:07,Closed,0,18.38,295,0,0,0,295,-0.72,-3.77,-72,-212.4,-212.4,-3.77,0.36,-0.72
55,TWST,Long,37.59,2/9/2024 12:55,2/13/2024 9:31,Closed,0,36.32,151,0,0,0,151,-1.27,-3.38,-127,-191.77,-191.77,-3.38,3.24,-1.27
56,AAOI,Long,21.75,2/12/2024 10:12,2/13/2024 9:31,Closed,0,19.84,266,0,0,0,266,-1.91,-8.78,-191,-508.06,-508.06,-8.78,0.6,-1.91
57,TRML,Long,38.26,2/13/2024 11:19,2/21/2024 9:40,Closed,0,36.97,146,0,0,0,146,-1.29,-3.37,-129,-188.34,-188.34,-3.37,5.08,-2.63
58,KROS,Long,58.26,2/14/2024 9:37,3/7/2024 9:35,Closed,0,68.01,97,0,0,0,97,8.5,14.59,850,945.46,945.46,16.73,14.74,-2.04
59,NXT,Long,60.23,2/14/2024 9:45,2/20/2024 15:53,Closed,0,58.64,93,0,0,0,93,-1.59,-2.64,-159,-147.87,-147.87,-2.64,1.22,-1.59
60,FATE,Long,6.96,2/15/2024 10:17,2/21/2024 10:41,Closed,0,6.51,817,0,0,0,817,-0.45,-6.47,-45,-367.65,-367.65,-6.47,0.78,-0.45
61,KURA,Long,21.13,2/20/2024 9:34,2/20/2024 11:15,Closed,0,20.23,273,0,0,0,273,-0.9,-4.26,-90,-245.7,-245.7,-4.26,0.76,-0.9
62,CRBP,Long,25.3,2/21/2024 9:38,3/21/2024 9:35,Closed,0,35.77,225,0,0,0,225,13.38,52.89,1338,2355.3,2355.3,41.38,24.57,-1.5
63,RXRX,Long,13.42,2/22/2024 9:38,2/28/2024 9:35,Closed,0,12.85,423,0,0,0,423,-0.57,-4.25,-57,-241.11,-241.11,-4.25,2.32,-0.57
64,ADVM,Long,22.3,2/22/2024 12:05,2/26/2024 11:31,Closed,0,19.8,259,0,0,0,259,-2.5,-11.21,-250,-647.5,-647.5,-11.21,0.1,-2.5
65,TARS,Long,31.91,2/23/2024 10:28,2/26/2024 9:31,Closed,0,31.05,178,0,0,0,178,-0.86,-2.7,-86,-153.08,-153.08,-2.7,0.62,-0.86
66,POWL,Long,159.35,2/23/2024 12:01,3/6/2024 9:32,Closed,0,178.46,35,0,0,0,35,14.06,8.82,1406,668.86,668.86,11.99,38.52,-2.07
67,COIN,Long,172.79,2/26/2024 9:34,3/15/2024 9:32,Closed,0,216.37,32,0,0,0,32,54.67,31.64,5467,1394.56,1394.56,25.22,98.86,-0.58
68,KURA,Long,20.79,2/26/2024 9:36,3/15/2024 9:32,Closed,0,23.02,274,0,0,0,274,1.33,6.4,133,611.02,611.02,10.73,3.38,-0.31
69,APP,Long,59.29,2/26/2024 9:40,2/29/2024 9:39,Closed,0,57.72,96,0,0,0,96,-1.57,-2.65,-157,-150.72,-150.72,-2.65,2.06,-1.57
